Date,Open,High,Low,Close,Adj Close,Volume
2019-04-22,19.309999,19.350000,18.520000,18.680000,18.607107,59700
2019-04-23,1800.670000,18.950001,18.610001,18.870001,18.796366,75100
2019-04-24,18.889999,19.340000,18.790001,19.250000,19.174883,102200
2019-04-25,190.120001,19.129999,18.790001,18.840000,18.766483,129700
2019-04-26,138.889999,18.980000,18.629999,18.690001,18.617069,63800
2019-04-29,18.670000,18.860001,18.350000,18.459999,18.387964,132400
2019-04-30,18.520000,18.580000,17.260000,17.549999,17.481516,286700
2019-05-01,17.530001,17.740000,17.250000,17.309999,17.242453,198600
2019-05-02,16.850000,17.940001,16.580000,17.770000,17.700659,280100
2019-05-03,17.969999,18.719999,17.840000,18.299999,18.228588,178500
2019-05-06,17.959999,18.740000,17.959999,18.610001,18.537380,263100
2019-05-07,18.400000,18.750000,18.350000,18.690001,18.617069,179400
2019-05-08,18.629999,19.059999,18.540001,18.740000,18.666872,82700
2019-05-09,18.580000,19.260000,18.500000,19.219999,19.144999,89700
2019-05-10,19.049999,19.500000,19.049999,19.430000,19.430000,72800
2019-05-13,19.139999,19.590000,19.020000,19.430000,19.430000,115600
2019-05-14,19.450001,19.730000,19.290001,19.370001,19.370001,102700
2019-05-15,19.180000,19.760000,19.020000,19.549999,19.549999,81500
2019-05-16,19.600000,19.879999,19.590000,19.650000,19.650000,78900
2019-05-17,19.469999,19.959999,19.469999,19.559999,19.559999,91600
